site,season,burned,tsf,ndvi_abs,ndvi_het
CG-017,15_3,prefire,-20,0.211,0.0501
CG-018,15_3,prefire,-20,0.303,0.0486
CG-019,15_3,prefire,-20,0.208,0.0406
CG-020,15_3,prefire,-20,0.248,0.0551
CG-029,15_3,prefire,-20,0.29,0.0669
CG-030,15_3,prefire,-20,0.301,0.0546
CG-031,15_3,prefire,-20,0.274,0.0617
CG-033,15_3,prefire,-20,0.275,0.0583
CG-042,15_3,prefire,-20,0.253,0.0576
CG-044,15_3,prefire,-20,0.306,0.0519
CG-045,15_3,prefire,-20,0.257,0.0789
CG-047,15_3,prefire,-20,0.284,0.0526
CG-048,15_3,prefire,-20,0.27,0.045
CG-056,15_3,prefire,-20,0.226,0.0634
CG-057,15_3,prefire,-20,0.285,0.0741
CG-058,15_3,prefire,-20,0.264,0.1103
CG-059,15_3,prefire,-20,0.335,0.0476
CG-069,15_3,prefire,-20,0.307,0.064
CG-070,15_3,prefire,-20,0.265,0.0721
CG-071,15_3,prefire,-20,0.297,0.0559
CG-073,15_3,prefire,-20,0.28,0.0594
CG-074,15_3,prefire,-20,0.303,0.0605
CG-075,15_3,prefire,-20,0.286,0.0449
CG-084,15_3,prefire,-20,0.331,0.0473
CG-085,15_3,prefire,-20,0.276,0.0556
CG-088,15_3,prefire,-20,0.261,0.0672
CG-089,15_3,prefire,-20,0.261,0.052
CG-090,15_3,prefire,-20,0.247,0.067
CG-092,15_3,prefire,-20,0.278,0.0624
CG-096,15_3,prefire,-20,0.234,0.0464
CG-097,15_3,prefire,-20,0.215,0.0928
CG-098,15_3,prefire,-20,0.26,0.0655
CG-102,15_3,prefire,-20,0.22,0.0575
CG-103,15_3,prefire,-20,0.222,0.0616
CO-TR,15_3,prefire,-8,0.154,0.0298
DO-CA3,15_3,prefire,-8,0.156,0.0292
DR-SP2,15_3,prefire,-8,0.148,0.0262
EA-MW2,15_3,prefire,-8,0.146,0.0326
FR-RO,15_3,prefire,-8,0.173,0.027
GY-FO,15_3,prefire,-8,0.156,0.0172
IR-ME1,15_3,prefire,-8,0.174,0.0209
IRC01,15_3,prefire,-8,0.149,0.0369
IRC02,15_3,prefire,-8,0.156,0.0337
IRC03,15_3,prefire,-8,0.168,0.0287
IRC04,15_3,prefire,-8,0.162,0.0229
IRC05,15_3,prefire,-8,0.158,0.0269
IRC06,15_3,prefire,-8,0.171,0.027
IRC07,15_3,prefire,-8,0.169,0.0235
IRC09,15_3,prefire,-8,0.178,0.023
IRC10,15_3,prefire,-8,0.174,0.0256
IRC12,15_3,prefire,-8,0.174,0.0317
IRC13,15_3,prefire,-8,0.154,0.0199
LI-ME2,15_3,prefire,-8,0.16,0.0195
LO-WE2,15_3,prefire,-8,0.171,0.028
MO-FR1,15_3,prefire,-8,0.178,0.0247
OR-LO,15_3,prefire,-8,0.178,0.0491
OV-TR,15_3,prefire,-8,0.152,0.0278
RO-CA2,15_3,prefire,-8,0.168,0.0265
SO-GY,15_3,prefire,-8,0.16,0.0225
UP-WE,15_3,prefire,-8,0.164,0.0312
WE-TR1,15_3,prefire,-8,0.182,0.0333
WE-TR3,15_3,prefire,-8,0.166,0.0339
AG-CH,15_4,prefire,-7,0.175,0.0408
AU-TR,15_4,prefire,-7,0.167,0.0384
BO-SP,15_4,prefire,-7,0.191,0.0358
BO-TR,15_4,prefire,-7,0.182,0.0382
CG-001,15_4,prefire,-19,0.26,0.0905
CG-002,15_4,prefire,-19,0.241,0.0552
CG-003,15_4,prefire,-19,0.202,0.069
CG-004,15_4,prefire,-19,0.262,0.0464
CG-005,15_4,prefire,-19,0.229,0.0501
CG-006,15_4,prefire,-19,0.205,0.0638
CG-016,15_4,prefire,-19,0.255,0.0638
CG-017,15_4,prefire,-19,0.204,0.0504
CG-018,15_4,prefire,-19,0.297,0.0526
CG-019,15_4,prefire,-19,0.19,0.0431
CG-020,15_4,prefire,-19,0.247,0.0657
CG-029,15_4,prefire,-19,0.284,0.0624
CG-030,15_4,prefire,-19,0.281,0.0583
CG-031,15_4,prefire,-19,0.248,0.0657
CG-033,15_4,prefire,-19,0.248,0.0618
CG-042,15_4,prefire,-19,0.245,0.063
CG-044,15_4,prefire,-19,0.281,0.0476
CG-045,15_4,prefire,-19,0.233,0.0868
CG-047,15_4,prefire,-19,0.249,0.0538
CG-048,15_4,prefire,-19,0.243,0.0465
CG-056,15_4,prefire,-19,0.206,0.0646
CG-057,15_4,prefire,-19,0.265,0.0788
CG-058,15_4,prefire,-19,0.242,0.1239
CG-059,15_4,prefire,-19,0.321,0.0501
CG-069,15_4,prefire,-19,0.303,0.0715
CG-070,15_4,prefire,-19,0.25,0.0741
CG-071,15_4,prefire,-19,0.282,0.0629
CG-073,15_4,prefire,-19,0.249,0.0647
CG-074,15_4,prefire,-19,0.281,0.0647
CG-075,15_4,prefire,-19,0.267,0.0503
CG-084,15_4,prefire,-19,0.283,0.0439
CG-085,15_4,prefire,-19,0.262,0.0602
CG-088,15_4,prefire,-19,0.263,0.0547
CG-089,15_4,prefire,-19,0.251,0.0496
CG-090,15_4,prefire,-19,0.236,0.0728
CG-092,15_4,prefire,-19,0.27,0.0613
CG-096,15_4,prefire,-19,0.245,0.0374
CG-097,15_4,prefire,-19,0.242,0.0706
CG-098,15_4,prefire,-19,0.258,0.0588
